StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,University Major,UCID Numbers,Matrix 1_1,Matrix 1_2,Matrix 1_3,Matrix 1_4,Matrix 1_5,Matrix 1_6,Matrix 1_7,Matrix 2_1,Matrix 2_2,Matrix 2_3,Matrix 2_4,Matrix 2_5,Matrix 2_6,Matrix 2_7,Matrix 3_1,Matrix 3_2,Matrix 3_3,Matrix 3_4,Matrix 3_5,Matrix 3_6,Matrix 3_7,Matrix 4_1,Matrix 4_2,Matrix 4_3,Matrix 4_4,Matrix 4_5,Matrix 4_6,Matrix 4_7,Matrix 5_1,Matrix 5_2,Matrix 5_3,Matrix 5_4,Matrix 5_5,Matrix 5_6,Matrix 5_7,Matrix 6_1,Matrix 6_2,Matrix 6_3,Matrix 6_4,Matrix 6_5,Matrix 6_6,Matrix 6_7,Application Interest_1,Application Interest_2,Application Interest_3,Application Interest_4,Application Interest_5,SA - Interest,SA - Connections
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Interdisciplinary Applications

Purpose of the Study

The purpose of this study is to improve the instruction of introductory level physics classrooms through the use of interdisciplinary applications that align with existing course content.

Please click here for full consent information: Consent Form",What is your University Major?,What is your UCID number?,Please answer with how much you agree or disagree with each statement. - A significant problem in learning physics is being able to memorize all the information I need to know.,"Please answer with how much you agree or disagree with each statement. - When I am solving a physics problem, I try to decide what would be a reasonable value for the answer.",Please answer with how much you agree or disagree with each statement. - I think about the physics I experience in everyday life.,Please answer with how much you agree or disagree with each statement. - It is useful for me to do lots and lots of problems when learning physics.,"Please answer with how much you agree or disagree with each statement. - After I study a topic in physics and feel that I understand it, I have difficulty solving problems on the same topic.",Please answer with how much you agree or disagree with each statement. - Knowledge in physics consists of many disconnected topics.,"Please answer with how much you agree or disagree with each statement. - As physicists learn more, most physics ideas we use today are likely to be proven wrong.","Please answer with how much you agree or disagree with each statement. - When I solve a physics problem, I locate an equation that uses the variables given in the problem and plug in the values.",Please answer with how much you agree or disagree with each statement. - I find that reading the text in detail is a good way for me to learn physics.,Please answer with how much you agree or disagree with each statement. - There is usually only one correct approach to solving a physics problem.,Please answer with how much you agree or disagree with each statement. - I am not satisfied until I understand why something works the way it does.,Please answer with how much you agree or disagree with each statement. - I cannot learn physics if the teacher does not explain things well in class.,Please answer with how much you agree or disagree with each statement. - I do not expect physics equations to help my understanding of the ideas; they are just for doing calculations.,Please answer with how much you agree or disagree with each statement. - I study physics to learn knowledge that will be useful in my life outside of school.,"Please answer with how much you agree or disagree with each statement. - If I get stuck on a physics problem on my first try, I usually try to figure out a different way that works.",Please answer with how much you agree or disagree with each statement. - Nearly everyone is capable of understanding physics if they work at it.,Please answer with how much you agree or disagree with each statement. - Understanding physics basically means being able to recall something you’ve read or been shown.,Please answer with how much you agree or disagree with each statement. - There could be two different correct values to a physics problem if I use two different approaches.,Please answer with how much you agree or disagree with each statement. - To understand physics I discuss it with friends and other students.,Please answer with how much you agree or disagree with each statement. - I do not spend more than five minutes stuck on a physics problem before giving up or seeking help from someone else.,"Please answer with how much you agree or disagree with each statement. - If I don’t remember a particular equation needed to solve a problem on an exam, there’s nothing much I can do (legally!) to come up with it.","Please answer with how much you agree or disagree with each statement. - If I want to apply a method used for solving one physics problem to another problem, the problems must involve very similar situations.","Please answer with how much you agree or disagree with each statement. - In doing a physics problem, if my calculation gives a result very different from what I’d expect, I’d trust the calculation rather than going back through the problem.","Please answer with how much you agree or disagree with each statement. - In physics, it is important for me to make sense out of formulas before I can use them correctly.",Please answer with how much you agree or disagree with each statement. - I enjoy solving physics problems.,"Please answer with how much you agree or disagree with each statement. - In physics, mathematical formulas express meaningful relationships among measurable quantities.",Please answer with how much you agree or disagree with each statement. - It is important for the government to approve new scientific ideas before they can be widely accepted.,Please answer with how much you agree or disagree with each statement. - Learning physics changes my ideas about how the world works,"Please answer with how much you agree or disagree with each statement. - To learn physics, I only need to memorize solutions to sample problems.",Please answer with how much you agree or disagree with each statement. - Reasoning skills used to understand physics can be helpful to me in my everyday life.,Please answer with how much you agree or disagree with each statement. - We use this question to discard the survey of people who are not reading the statements. Please select agree (not strongly agree) to preserve your answers.,Please answer with how much you agree or disagree with each statement. - Spending a lot of time understanding where formulas come from is a waste of time.,Please answer with how much you agree or disagree with each statement. - I find carefully analyzing only a few problems in detail is a good way for me to learn physics,Please answer with how much you agree or disagree with each statement. - I can usually figure out a way to solve physics problems.,Please answer with how much you agree or disagree with each statement. - The subject of physics has little relation to what I experience in the real world.,Please answer with how much you agree or disagree with each statement. - There are times I solve a physics problem more than one way to help my understanding.,"Please answer with how much you agree or disagree with each statement. - To understand physics, I sometimes think about my personal experiences and relate them to the topic being analyzed.",Please answer with how much you agree or disagree with each statement. - It is possible to explain physics ideas without mathematical formulas.,"Please answer with how much you agree or disagree with each statement. - When I solve a physics problem, I explicitly think about which physics ideas apply to the problem.","Please answer with how much you agree or disagree with each statement. - If I get stuck on a physics problem, there is no chance I’ll figure it out on my own.",Please answer with how much you agree or disagree with each statement. - It is possible for physicists to carefully perform the same experiment and get two very different results that are both correct.,"Please answer with how much you agree or disagree with each statement. - When studying physics, I relate the important information to what I already know rather than just memorizing it the way it is presented.",Which of the following examples sparked your interest and how much? Please rate them from 1 (did not spark interest at all) to 5 (greatly sparked interest) or indicate if you did not see the example. - Historical Context to the study of Electromagnetism,Which of the following examples sparked your interest and how much? Please rate them from 1 (did not spark interest at all) to 5 (greatly sparked interest) or indicate if you did not see the example. - How Coulombs Law Impacts Molecular Properties,Which of the following examples sparked your interest and how much? Please rate them from 1 (did not spark interest at all) to 5 (greatly sparked interest) or indicate if you did not see the example. - Cell Membrane Potential,Which of the following examples sparked your interest and how much? Please rate them from 1 (did not spark interest at all) to 5 (greatly sparked interest) or indicate if you did not see the example. - Electrocardiography,Which of the following examples sparked your interest and how much? Please rate them from 1 (did not spark interest at all) to 5 (greatly sparked interest) or indicate if you did not see the example. - Defibrillation,How did the interdisciplinary applications impact your interest and learning in this course? Please describe in a few sentences.,"Please describe any connections you have made between this physics course and things outside of this course. (In other courses, your daily life, future career...)"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID172807553""}","{""ImportId"":""QID61""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID62_2""}","{""ImportId"":""QID62_3""}","{""ImportId"":""QID62_4""}","{""ImportId"":""QID62_5""}","{""ImportId"":""QID62_6""}","{""ImportId"":""QID62_7""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID63_4""}","{""ImportId"":""QID63_5""}","{""ImportId"":""QID63_6""}","{""ImportId"":""QID63_7""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID64_2""}","{""ImportId"":""QID64_3""}","{""ImportId"":""QID64_4""}","{""ImportId"":""QID64_5""}","{""ImportId"":""QID64_6""}","{""ImportId"":""QID64_7""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID65_2""}","{""ImportId"":""QID65_3""}","{""ImportId"":""QID65_4""}","{""ImportId"":""QID65_5""}","{""ImportId"":""QID65_6""}","{""ImportId"":""QID65_7""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID66_2""}","{""ImportId"":""QID66_3""}","{""ImportId"":""QID66_4""}","{""ImportId"":""QID66_5""}","{""ImportId"":""QID66_6""}","{""ImportId"":""QID66_7""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID109_2""}","{""ImportId"":""QID109_3""}","{""ImportId"":""QID109_4""}","{""ImportId"":""QID109_5""}","{""ImportId"":""QID109_6""}","{""ImportId"":""QID109_7""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID56_2""}","{""ImportId"":""QID56_3""}","{""ImportId"":""QID56_4""}","{""ImportId"":""QID56_5""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID60_TEXT""}"
2/11/2022 13:10,2/11/2022 13:12,0,100,104,1,2/11/2022 13:12,R_33l2kv1fhv2q95s,anonymous,EN,1,4,123456,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,abc,def
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
